10.0.2.152,10.0.2.100,34006,443,5523222,32.6,35.6,3234.6,477538.6,281,40,125,27564,52,13392,29200,0,3617,28960,235,552,64,64,64,64,64,64,0.006134969325153374,0.006134969325153374,0.012269938650306749,0.2392638036809816,0.9815950920245399,0.0,0.0056179775280898875,0.0056179775280898875,0.0,0.8651685393258427,1.0,0.0,0.012269938650306749,0.018404907975460124,0.049079754601226995,0.3803680981595092,0.0,0.0,0.0,0.0,0.2752808988764045,0.0,5.0,5.0,1.0,0.0,221.0,221.0,1.0,0.0
10.0.2.152,10.0.2.100,53684,443,3256409,9.333333,7.6666665,906.6667,45878.668,288,40,100,13084,52,5982,29200,0,1881,28960,235,1507,64,64,64,64,64,64,0.03571428571428571,0.03571428571428571,0.07142857142857142,0.2857142857142857,0.8928571428571429,0.0,0.043478260869565216,0.043478260869565216,0.0,0.43478260869565216,1.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.6,0.4,243.0,196.0,0.8065843621399177,0.1934156378600823
10.0.2.152,10.0.2.100,32780,80,7440423,3.7142856,3.0,368.7143,19463.285,193,52,102,22830,52,6487,29200,229,1834,28960,235,1649,64,64,64,64,64,64,0.038461538461538464,0.038461538461538464,0.0,0.34615384615384615,0.9615384615384616,0.0,0.047619047619047616,0.047619047619047616,0.0,0.5238095238095238,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,0.46153846153846156,0.5384615384615384,270.0,51.0,0.18888888888888888,0.8111111111111111
10.0.2.151,10.0.2.100,42250,443,3937533,12.333333,8.333333,1442.6666,46612.332,288,40,120,16926,52,5592,29200,0,1510,28960,235,1433,64,64,64,64,64,64,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.3783783783783784,0.918918918918919,0.0,0.04,0.04,0.0,0.72,1.0,0.0,0.0,0.0,0.0,0.2702702702702703,0.0,0.0,0.0,0.0,0.12,0.0,18.0,12.0,0.6666666666666666,0.33333333333333337,288.0,240.0,0.8333333333333334,0.16666666666666663
10.0.2.152,10.0.2.100,33742,443,5427498,29.8,32.8,2897.8,341930.8,288,52,125,18876,52,10412,29200,229,1734,28960,235,548,64,64,64,64,64,64,0.0,0.006711409395973154,0.0,0.2214765100671141,0.9932885906040269,0.0,0.006097560975609756,0.006097560975609756,0.0,0.7073170731707317,1.0,0.0,0.013422818791946308,0.020134228187919462,0.04697986577181208,0.2684563758389262,0.0,0.0,0.0,0.0,0.12804878048780488,0.0,0.0,0.0,0.0,0.0,222.0,222.0,1.0,0.0
10.0.2.152,10.0.2.100,57484,443,5183458,12.6,14.8,1325.0,124316.0,288,52,111,18876,52,8398,29200,229,1815,28960,235,697,64,64,64,64,64,64,0.0,0.015873015873015872,0.0,0.2698412698412698,0.9841269841269841,0.0,0.013513513513513514,0.013513513513513514,0.0,0.5405405405405406,1.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,18.0,18.0,1.0,0.0,220.0,220.0,1.0,0.0
10.0.2.151,10.0.2.100,51392,80,47272,30.0,24.0,2789.0,136399.0,193,52,97,14532,52,5683,29200,229,1775,28960,235,1477,64,64,64,64,64,64,0.0,0.03333333333333333,0.0,0.3,0.9666666666666667,0.0,0.0,0.041666666666666664,0.0,0.4583333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,0.3076923076923077,0.6923076923076923,249.0,52.0,0.20883534136546184,0.7911646586345382
10.0.2.152,10.0.2.100,46106,443,8618979,18.375,20.875,1808.75,213726.25,288,52,126,26116,52,10226,29200,229,1725,28960,235,543,64,64,64,64,64,64,0.0,0.006802721088435374,0.006802721088435374,0.23129251700680273,0.9931972789115646,0.0,0.005988023952095809,0.005988023952095809,0.0,0.6167664670658682,1.0,0.0,0.0,0.013605442176870748,0.0,0.272108843537415,0.0,0.0,0.0,0.0,0.10179640718562874,0.0,22.0,22.0,1.0,0.0,222.0,222.0,1.0,0.0
10.0.2.152,10.0.2.100,41246,443,13559433,3.7692308,3.3846154,393.3846,37783.617,288,52,110,26116,52,11161,29200,0,1646,28960,235,935,64,64,64,64,64,64,0.0,0.02040816326530612,0.02040816326530612,0.2857142857142857,0.9795918367346939,0.0,0.022727272727272728,0.022727272727272728,0.0,0.5681818181818182,1.0,0.0,0.0,0.0,0.0,0.10204081632653061,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,31.0,22.0,0.7096774193548387,0.29032258064516125,289.0,239.0,0.8269896193771626,0.17301038062283736
10.0.2.152,10.0.2.100,44846,80,3134668,6.3333335,5.3333335,510.0,41746.0,187,52,83,15980,52,7825,29200,229,2490,28960,235,2043,64,64,64,64,64,64,0.05263157894736842,0.05263157894736842,0.0,0.21052631578947367,0.9473684210526315,0.0,0.0625,0.0625,0.0,0.375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,13.0,0.41935483870967744,0.5806451612903225,274.0,47.0,0.17153284671532848,0.8284671532846715
